Date,Ticker,Close
2022-04-11,GOTO.JK,382.0
2022-04-12,GOTO.JK,370.0
2022-04-13,GOTO.JK,374.0
2022-04-14,GOTO.JK,376.0
2022-04-18,GOTO.JK,378.0
2022-04-19,GOTO.JK,358.0
2022-04-20,GOTO.JK,338.0
2022-04-21,GOTO.JK,340.0
2022-04-22,GOTO.JK,340.0
2022-04-25,GOTO.JK,328.0
2022-04-26,GOTO.JK,310.0
2022-04-27,GOTO.JK,290.0
2022-04-28,GOTO.JK,272.0
2022-05-09,GOTO.JK,254.0
2022-05-10,GOTO.JK,238.0
2022-05-11,GOTO.JK,222.0
2022-05-12,GOTO.JK,208.0
2022-05-13,GOTO.JK,194.0
2022-05-17,GOTO.JK,200.0
2022-05-18,GOTO.JK,248.0
2022-05-19,GOTO.JK,280.0
2022-05-20,GOTO.JK,304.0
2022-05-23,GOTO.JK,296.0
2022-05-24,GOTO.JK,302.0
2022-05-25,GOTO.JK,304.0
2022-05-27,GOTO.JK,312.0
2022-05-30,GOTO.JK,314.0
2022-05-31,GOTO.JK,304.0
2022-06-02,GOTO.JK,344.0
2022-06-03,GOTO.JK,354.0
2022-06-06,GOTO.JK,330.0
2022-06-07,GOTO.JK,364.0
2022-06-08,GOTO.JK,378.0
2022-06-09,GOTO.JK,384.0
2022-06-10,GOTO.JK,386.0
2022-06-13,GOTO.JK,388.0
2022-06-14,GOTO.JK,400.0
2022-06-15,GOTO.JK,404.0
2022-06-16,GOTO.JK,392.0
2022-06-17,GOTO.JK,366.0
2022-06-20,GOTO.JK,370.0
2022-06-21,GOTO.JK,378.0
2022-06-22,GOTO.JK,380.0
2022-06-23,GOTO.JK,380.0
2022-06-24,GOTO.JK,392.0
2022-06-27,GOTO.JK,394.0
2022-06-28,GOTO.JK,392.0
2022-06-29,GOTO.JK,390.0
2022-06-30,GOTO.JK,388.0
2022-07-01,GOTO.JK,370.0
2022-07-04,GOTO.JK,346.0
2022-07-05,GOTO.JK,334.0
2022-07-06,GOTO.JK,324.0
2022-07-07,GOTO.JK,338.0
2022-07-08,GOTO.JK,350.0
2022-07-11,GOTO.JK,338.0
2022-07-12,GOTO.JK,330.0
2022-07-13,GOTO.JK,324.0
2022-07-14,GOTO.JK,332.0
2022-07-15,GOTO.JK,320.0
2022-07-18,GOTO.JK,298.0
2022-07-19,GOTO.JK,302.0
2022-07-20,GOTO.JK,308.0
2022-07-21,GOTO.JK,300.0
2022-07-22,GOTO.JK,308.0
2022-07-25,GOTO.JK,300.0
2022-07-26,GOTO.JK,292.0
2022-07-27,GOTO.JK,294.0
2022-07-28,GOTO.JK,306.0
2022-07-29,GOTO.JK,296.0
2022-08-01,GOTO.JK,286.0
