Date,Ticker,Close
2022-01-03,ASII,4179.01953125
2022-01-04,ASII,4215.51806640625
2022-01-05,ASII,4069.525390625
2022-01-06,ASII,4142.52099609375
2022-01-07,ASII,4160.77099609375
2022-01-10,ASII,4124.2724609375
2022-01-11,ASII,4160.77099609375
2022-01-12,ASII,4179.01953125
2022-01-13,ASII,4215.51806640625
2022-01-14,ASII,4179.01953125
2022-01-17,ASII,4142.52099609375
2022-01-18,ASII,4124.2724609375
2022-01-19,ASII,4087.774169921875
2022-01-20,ASII,4033.027099609375
2022-01-21,ASII,4087.774169921875
2022-01-24,ASII,4033.027099609375
2022-01-25,ASII,3978.280517578125
2022-01-26,ASII,3978.280517578125
2022-01-27,ASII,3996.529296875
2022-01-28,ASII,3996.529296875
2022-01-31,ASII,3996.529296875
2022-02-02,ASII,4014.7783203125
2022-02-03,ASII,4014.7783203125
2022-02-04,ASII,4014.7783203125
2022-02-07,ASII,3996.529296875
2022-02-08,ASII,4051.277099609375
2022-02-09,ASII,4051.277099609375
2022-02-10,ASII,3978.280517578125
2022-02-11,ASII,3978.280517578125
2022-02-14,ASII,3868.786865234375
2022-02-15,ASII,4014.7783203125
2022-02-16,ASII,3996.529296875
2022-02-17,ASII,3996.529296875
2022-02-18,ASII,4087.774169921875
2022-02-21,ASII,4069.525390625
2022-02-22,ASII,4069.525390625
2022-02-23,ASII,4124.2724609375
2022-02-24,ASII,4160.77099609375
2022-02-25,ASII,4233.7666015625
2022-03-01,ASII,4160.77099609375
2022-03-02,ASII,4033.027099609375
2022-03-04,ASII,4106.02392578125
2022-03-07,ASII,4233.7666015625
2022-03-08,ASII,4562.248046875
2022-03-09,ASII,4598.74609375
2022-03-10,ASII,4562.248046875
2022-03-11,ASII,4580.49755859375
2022-03-14,ASII,4653.4931640625
2022-03-15,ASII,4598.74609375
2022-03-16,ASII,4671.74169921875
2022-03-17,ASII,4689.99169921875
2022-03-18,ASII,4671.74169921875
2022-03-21,ASII,4817.734375
2022-03-22,ASII,4799.48486328125
2022-03-23,ASII,4726.4892578125
2022-03-24,ASII,4799.48486328125
2022-03-25,ASII,4671.74169921875
2022-03-28,ASII,4890.72998046875
2022-03-29,ASII,4781.236328125
2022-03-30,ASII,4854.23193359375
2022-03-31,ASII,4799.48486328125
2022-04-01,ASII,4890.72998046875
2022-04-04,ASII,4981.97509765625
2022-04-05,ASII,5036.72265625
2022-04-06,ASII,5109.71826171875
2022-04-07,ASII,5036.72265625
2022-04-08,ASII,5109.71826171875
2022-04-11,ASII,5000.22412109375
2022-04-12,ASII,5073.2197265625
2022-04-13,ASII,5091.4697265625
2022-04-14,ASII,5018.47265625
2022-04-18,ASII,5109.71826171875
2022-04-19,ASII,5036.72265625
2022-04-20,ASII,5036.72265625
2022-04-21,ASII,5109.71826171875
2022-04-22,ASII,5146.2158203125
2022-04-25,ASII,5164.46533203125
2022-04-26,ASII,5255.7099609375
2022-04-27,ASII,5200.962890625
2022-04-28,ASII,5529.44482421875
2022-05-09,ASII,5281.4775390625
2022-05-10,ASII,5244.0205078125
2022-05-11,ASII,5169.1064453125
2022-05-12,ASII,5131.64892578125
2022-05-13,ASII,5337.66357421875
2022-05-17,ASII,5244.0205078125
2022-05-18,ASII,5318.9345703125
2022-05-19,ASII,5244.0205078125
2022-05-20,ASII,5337.66357421875
