Date,Forecast
2025-06-12,4612.346740680131
2025-06-13,4615.720745484957
2025-06-16,4617.856135749296
2025-06-17,4620.340349263195
2025-06-18,4622.732907736627
2025-06-19,4625.165563968482
2025-06-20,4627.552596054062
2025-06-23,4629.916325630404
2025-06-24,4632.249475711087
2025-06-25,4634.556952808446
2025-06-26,4636.837954242683
2025-06-27,4639.093216040231
2025-06-30,4641.322789828487
2025-07-01,4643.527023240302
2025-07-02,4645.706179460043
2025-07-03,4647.860556289043
2025-07-04,4649.990432665259
2025-07-07,4652.096088634163
2025-07-08,4654.177798975212
2025-07-09,4656.235836147289
2025-07-10,4658.270469281048
2025-07-11,4660.281964561078
2025-07-14,4662.270585103248
2025-07-15,4664.236591043727
2025-07-16,4666.180239554153
2025-07-17,4668.101784883767
2025-07-18,4670.001478389805
2025-07-21,4671.879568571406
2025-07-22,4673.736301101665
2025-07-23,4675.57191885992
