Date,Forecast
2025-06-17,2739.5112848494246
2025-06-18,2740.6532726604783
2025-06-19,2744.34904882926
2025-06-20,2746.351566731377
2025-06-23,2748.3524838151184
2025-06-24,2750.483183522122
2025-06-25,2752.423607291164
2025-06-26,2754.4134336078346
2025-06-27,2756.4047722146306
2025-06-30,2758.3671846053103
2025-07-01,2760.327097764605
2025-07-02,2762.274189107647
2025-07-03,2764.207877885712
2025-07-04,2766.1311403553664
2025-07-07,2768.0425290736944
2025-07-08,2769.9423682816855
2025-07-09,2771.8309549269684
2025-07-10,2773.708158926516
2025-07-11,2775.574110859908
2025-07-14,2777.4288874703825
2025-07-15,2779.272534685825
2025-07-16,2781.1051296459887
2025-07-17,2782.926737484189
2025-07-18,2784.7374222609983
2025-07-21,2786.5372508489777
2025-07-22,2788.3262879505805
2025-07-23,2790.1045981696097
2025-07-24,2791.872245977142
2025-07-25,2793.629295234338
2025-07-28,2795.375809492544
