Date,Forecast
2025-06-12,9053.893147179204
2025-06-13,9059.840635501076
2025-06-16,9059.833374928734
2025-06-17,9067.262514661816
2025-06-18,9071.804227137633
2025-06-19,9076.311697736104
2025-06-20,9081.048064239598
2025-06-23,9085.56097957821
2025-06-24,9090.195814603512
2025-06-25,9094.815880966733
2025-06-26,9099.420124410233
2025-06-27,9104.026192900013
2025-06-30,9108.62279862495
2025-07-01,9113.215520691403
2025-07-02,9117.803820739635
2025-07-03,9122.387024272812
2025-07-04,9126.965538674413
2025-07-07,9131.539168720003
2025-07-08,9136.107962651278
2025-07-09,9140.671947563806
2025-07-10,9145.231112514444
2025-07-11,9149.785469475672
2025-07-14,9154.335021370374
2025-07-15,9158.879772757677
2025-07-16,9163.41972935135
2025-07-17,9167.95489595618
2025-07-18,9172.48527771053
2025-07-21,9177.010879667327
2025-07-22,9181.531706845488
2025-07-23,9186.04776429317
