Date,Forecast
2025-06-18,4358.144139902951
2025-06-19,4348.340274627399
2025-06-20,4349.850206469446
2025-06-23,4351.2489486502045
2025-06-24,4351.4874497855335
2025-06-25,4352.709232322468
2025-06-26,4353.6041253028125
2025-06-27,4354.44525156728
2025-06-30,4355.367528255403
2025-07-01,4356.234371463068
2025-07-02,4357.101397363749
2025-07-03,4357.9671319058825
2025-07-04,4358.820437516298
2025-07-07,4359.668593188263
2025-07-08,4360.509832389618
2025-07-09,4361.343688851462
2025-07-10,4362.170945887031
2025-07-11,4362.991337708984
2025-07-14,4363.804951136654
2025-07-15,4364.611895646022
2025-07-16,4365.412186789056
2025-07-17,4366.2058910166825
2025-07-18,4366.993064346749
2025-07-21,4367.773756814293
2025-07-22,4368.5480236107
2025-07-23,4369.315917349744
2025-07-24,4370.077490241118
2025-07-25,4370.832794525827
2025-07-28,4371.581881729457
2025-07-29,4372.324803022166
