Date,Forecast
2025-06-12,68.35262446785228
2025-06-13,68.65092640603487
2025-06-16,69.23162572244172
2025-06-17,69.58715574434623
2025-06-18,69.7843160524943
2025-06-19,69.96415188147452
2025-06-20,70.1510054507662
2025-06-23,70.3160936177696
2025-06-24,70.46472821790636
2025-06-25,70.60883555181712
2025-06-26,70.75083812262403
2025-06-27,70.88931323408791
2025-06-30,71.02487210211284
2025-07-01,71.15856388622781
2025-07-02,71.29067729293496
2025-07-03,71.42119097883669
2025-07-04,71.55019503976175
2025-07-07,71.6777992654171
2025-07-08,71.80405036553448
2025-07-09,71.9289675212651
2025-07-10,72.052574148621
2025-07-11,72.17489321848186
2025-07-14,72.29594199642987
2025-07-15,72.41573497471678
2025-07-16,72.53428639775714
2025-07-17,72.65161012418096
2025-07-18,72.7677193448272
2025-07-21,72.88262684491298
2025-07-22,72.99634521943774
2025-07-23,73.1088868871158
