Date,Forecast
2025-06-18,3451.743057574953
2025-06-19,3427.3257461639096
2025-06-20,3394.770693912281
2025-06-23,3375.2608152030507
2025-06-24,3344.786241026143
2025-06-25,3313.31453921083
2025-06-26,3281.821311485305
2025-06-27,3251.6625652997154
2025-06-30,3221.459269117935
2025-07-01,3191.671314456381
2025-07-02,3162.401932386437
2025-07-03,3133.7343519662336
2025-07-04,3105.581258379345
2025-07-07,3077.9529293774176
2025-07-08,3050.848540499146
2025-07-09,3024.264682464155
2025-07-10,2998.187280050296
2025-07-11,2972.6074299834745
2025-07-14,2947.5162826271408
2025-07-15,2922.904967002476
2025-07-16,2898.764095355521
2025-07-17,2875.08469635449
2025-07-18,2851.8579911216466
2025-07-21,2829.0753582399857
2025-07-22,2806.7282973095907
2025-07-23,2784.808480832414
2025-07-24,2763.307743143837
2025-07-25,2742.218074302442
2025-07-28,2721.5316147344947
2025-07-29,2701.2406555012403
