Date,Forecast
2025-06-12,325.76470353469017
2025-06-13,324.93251728102655
2025-06-16,325.01471779361407
2025-06-17,323.2211353959471
2025-06-18,321.438975711076
2025-06-19,319.5979458255907
2025-06-20,317.9431768985441
2025-06-23,316.10566080404163
2025-06-24,314.3141209331678
2025-06-25,312.5366199668002
2025-06-26,310.8165317429455
2025-06-27,309.1041317277628
2025-06-30,307.4277662558746
2025-07-01,305.779955189952
2025-07-02,304.1672406985648
2025-07-03,302.58240591004744
2025-07-04,301.0286494878552
2025-07-07,299.5041429385315
2025-07-08,298.0094209077258
2025-07-09,296.5430204097337
2025-07-10,295.104901246791
2025-07-11,293.69431509761944
2025-07-14,292.3108979425748
2025-07-15,290.9540051958735
2025-07-16,289.62319685537057
2025-07-17,288.3179393027041
2025-07-18,287.037766091179
2025-07-21,285.78217828416933
2025-07-22,284.5507133482648
2025-07-23,283.34290286933646
