Date,Forecast
2025-06-17,5156.599632675051
2025-06-18,5159.853948674636
2025-06-19,5162.570038041887
2025-06-20,5165.044607300924
2025-06-23,5167.468178349205
2025-06-24,5169.982030782654
2025-06-25,5172.495945126617
2025-06-26,5174.9969417644415
2025-06-27,5177.489114202324
2025-06-30,5179.971139136868
2025-07-01,5182.4447880232365
2025-07-02,5184.910302685861
2025-07-03,5187.367462676299
2025-07-04,5189.81631135949
2025-07-07,5192.256859918429
2025-07-08,5194.689134179924
2025-07-09,5197.113168958035
2025-07-10,5199.528991634679
2025-07-11,5201.936629837656
2025-07-14,5204.3361113496985
2025-07-15,5206.727463680376
2025-07-16,5209.110714388625
2025-07-17,5211.485890935043
2025-07-18,5213.853020671057
2025-07-21,5216.212130859763
2025-07-22,5218.563248670055
2025-07-23,5220.9064011787805
2025-07-24,5223.241615371524
2025-07-25,5225.56891814233
2025-07-28,5227.888336294137
