Date,Forecast
2025-06-17,479.4250453634493
2025-06-18,479.29411414692197
2025-06-19,479.28705486662926
2025-06-20,479.4767190179204
2025-06-23,479.59986483905243
2025-06-24,479.69977847992664
2025-06-25,479.805645426886
2025-06-26,479.91697297726694
2025-06-27,480.02689417614323
2025-06-30,480.1359023846174
2025-07-01,480.24502059926283
2025-07-02,480.35425229747995
2025-07-03,480.46340216746495
2025-07-04,480.5724699298584
2025-07-07,480.6814876315898
2025-07-08,480.7904568543594
2025-07-09,480.89937193895935
2025-07-10,481.0082325372098
2025-07-11,481.11703963181765
2025-07-14,481.22579334722616
2025-07-15,481.3344935450697
2025-07-16,481.4431402305308
2025-07-17,481.5517334576806
2025-07-18,481.66027325734007
2025-07-21,481.76875965110236
2025-07-22,481.8771926643336
2025-07-23,481.9855723240849
2025-07-24,482.0938986567894
2025-07-25,482.202171688555
2025-07-28,482.31039144557286
