Date,Forecast
2025-06-12,4612.3467521326165
2025-06-13,4615.720756904478
2025-06-16,4617.8561473848395
2025-06-17,4620.34035891756
2025-06-18,4622.732916815908
2025-06-19,4625.165572399541
2025-06-20,4627.552604084248
2025-06-23,4629.916333158352
2025-06-24,4632.249482755126
2025-06-25,4634.556959357576
2025-06-26,4636.837960313226
2025-06-27,4639.0932216401525
2025-06-30,4641.322794967933
2025-07-01,4643.527027927335
2025-07-02,4645.706183703113
2025-07-03,4647.860560096294
2025-07-04,4649.990436044834
2025-07-07,4652.096091594047
2025-07-08,4654.177801523274
2025-07-09,4656.235838291265
2025-07-10,4658.270471028555
2025-07-11,4660.281965919611
2025-07-14,4662.270586080182
2025-07-15,4664.236591646319
2025-07-16,4666.180239789546
2025-07-17,4668.10178475899
2025-07-18,4670.001477911774
2025-07-21,4671.879567746926
2025-07-22,4673.736299937433
2025-07-23,4675.571917362522
