Date,Forecast
2025-06-12,198.70277435703886
2025-06-13,198.83443824927332
2025-06-16,198.9123285347221
2025-06-17,198.8708109614453
2025-06-18,198.8682020003787
2025-06-19,198.87492552084623
2025-06-20,198.8811688186858
2025-06-23,198.8851145628623
2025-06-24,198.88931633766535
2025-06-25,198.89372421651512
2025-06-26,198.89813905900036
2025-06-27,198.90250312353922
2025-06-30,198.90685291790422
2025-07-01,198.9111941238501
2025-07-02,198.9155238693863
2025-07-03,198.9198407263442
2025-07-04,198.924145150913
2025-07-07,198.9284373562414
2025-07-08,198.93271735067793
2025-07-09,198.9369851385064
2025-07-10,198.94124075717474
2025-07-11,198.94548424513334
2025-07-14,198.94971563706034
2025-07-15,198.95393496689658
2025-07-16,198.9581422689867
2025-07-17,198.96233757768064
2025-07-18,198.96652092717878
2025-07-21,198.97069235156417
2025-07-22,198.97485188482864
2025-07-23,198.97899956087005
