Date,Forecast
2025-06-18,1486.0964020226363
2025-06-19,1489.068715782652
2025-06-20,1494.420444289202
2025-06-23,1499.3520140832359
2025-06-24,1505.6988425906238
2025-06-25,1511.9002079213624
2025-06-26,1518.1885093633564
2025-06-27,1524.4250531649236
2025-06-30,1530.7130324976993
2025-07-01,1536.9696469592561
2025-07-02,1543.2038497610774
2025-07-03,1549.4087571860714
2025-07-04,1555.5903415873618
2025-07-07,1561.744353126057
2025-07-08,1567.8711807229765
2025-07-09,1573.9705833663468
2025-07-10,1580.0430173308334
2025-07-11,1586.0883755690777
2025-07-14,1592.1067814243122
2025-07-15,1598.0983356553436
2025-07-16,1604.0631772130207
2025-07-17,1610.0014135293352
2025-07-18,1615.9131627633703
2025-07-21,1621.7985419733538
2025-07-22,1627.6576698870954
2025-07-23,1633.490663005247
2025-07-24,1639.2976378397243
2025-07-25,1645.0787103828395
2025-07-28,1650.833996236275
2025-07-29,1656.563610393192
