Date,Forecast
2025-06-12,2827.311767578125
2025-06-13,2827.311767578125
2025-06-16,2827.311767578125
2025-06-17,2790.232177734375
2025-06-18,2655.7734375
2025-06-19,2521.406005859375
2025-06-20,2521.406005859375
2025-06-23,2521.406005859375
2025-06-24,2734.613037109375
2025-06-25,2734.613037109375
2025-06-26,2771.692626953125
2025-06-27,2771.692626953125
2025-06-30,2771.692626953125
2025-07-01,2734.613037109375
2025-07-02,2734.613037109375
2025-07-03,2690.7177734375
2025-07-04,2690.7177734375
2025-07-07,2690.7177734375
2025-07-08,2725.662109375
2025-07-09,2725.662109375
2025-07-10,2762.422607421875
2025-07-11,2753.15283203125
2025-07-14,2706.803466796875
2025-07-15,2734.613037109375
2025-07-16,2762.422607421875
2025-07-17,2771.692626953125
2025-07-18,2762.422607421875
2025-07-21,2808.77197265625
2025-07-22,2836.58154296875
2025-07-23,2910.74072265625
