Date,Forecast
2025-06-17,1545.9776694081047
2025-06-18,1531.5865160903545
2025-06-19,1515.9027133041418
2025-06-20,1497.241949381577
2025-06-23,1478.5126053244744
2025-06-24,1460.1177817322637
2025-06-25,1442.059106046935
2025-06-26,1424.5249435033866
2025-06-27,1407.5596709087126
2025-06-30,1391.1595596922684
2025-07-01,1375.3224580016713
2025-07-02,1360.036284881281
2025-07-03,1345.28449847316
2025-07-04,1331.0501580834593
2025-07-07,1317.3159661501732
2025-07-08,1304.0647141710515
2025-07-09,1291.2796206756616
2025-07-10,1278.9443877609897
2025-07-11,1267.0432332567393
2025-07-14,1255.5609058448981
2025-07-15,1244.482678151573
2025-07-16,1233.7943344215346
2025-07-17,1223.4821560924906
2025-07-18,1213.5329058563216
2025-07-21,1203.9338114870047
2025-07-22,1194.6725498829123
2025-07-23,1185.7372314545332
2025-07-24,1177.116384962168
2025-07-25,1168.7989428410674
2025-07-28,1160.774227018148
