Date,Forecast
2025-06-12,4081.6162206726503
2025-06-13,4087.121073067965
2025-06-16,4086.216475431509
2025-06-17,4090.380401082436
2025-06-18,4094.046458582849
2025-06-19,4097.366027521568
2025-06-20,4100.945785005326
2025-06-23,4104.469165672257
2025-06-24,4107.954000050947
2025-06-25,4111.43218022372
2025-06-26,4114.8859189402265
2025-06-27,4118.316847375425
2025-06-30,4121.726750516113
2025-07-01,4125.114757879753
2025-07-02,4128.481118522389
2025-07-03,4131.826054430504
2025-07-04,4135.149645928083
2025-07-07,4138.452036718856
2025-07-08,4141.733366262667
2025-07-09,4144.993765752056
2025-07-10,4148.23336918623
2025-07-11,4151.452309419777
2025-07-14,4154.650718075331
2025-07-15,4157.828726142624
2025-07-16,4160.986463754035
2025-07-17,4164.124060192075
2025-07-18,4167.241643926305
2025-07-21,4170.339342605333
2025-07-22,4173.417283062567
2025-07-23,4176.475591323082
