Date,Forecast
2025-06-06,4419.4948500113505
2025-06-07,4418.26007153336
2025-06-08,4428.199680177002
2025-06-09,4427.2396542975985
2025-06-10,4428.537175902936
2025-06-11,4430.320611644021
2025-06-12,4431.255261113659
2025-06-13,4432.522984042545
2025-06-14,4433.757218588654
2025-06-15,4434.928382170254
2025-06-16,4436.127157217839
2025-06-17,4437.309311431785
2025-06-18,4438.481217610877
2025-06-19,4439.648286092671
2025-06-20,4440.806322095401
2025-06-21,4441.956654530931
2025-06-22,4443.099479165115
2025-06-23,4444.234511726749
2025-06-24,4445.361960998101
2025-06-25,4446.481858197534
2025-06-26,4447.594233455497
2025-06-27,4448.699152535402
2025-06-28,4449.796661070984
2025-06-29,4450.8868081141345
2025-06-30,4451.9696442736085
2025-07-01,4453.045218026071
2025-07-02,4454.113578138437
2025-07-03,4455.174773069111
2025-07-04,4456.2288508177435
2025-07-05,4457.275859132485
