Date,Forecast
2025-06-16,1666.2687834495473
2025-06-17,1661.7906357565769
2025-06-18,1656.8051600973595
2025-06-19,1652.2228647502495
2025-06-20,1647.808573339979
2025-06-23,1643.419541535787
2025-06-24,1639.0662457506494
2025-06-25,1634.7659909067804
2025-06-26,1630.5112548434147
2025-06-27,1626.2988310412309
2025-06-30,1622.1285990001104
2025-07-01,1618.000463650368
2025-07-02,1613.9138069350047
2025-07-03,1609.8681615856221
2025-07-04,1605.8631226442512
2025-07-07,1601.8982882905118
2025-07-08,1597.97324975323
2025-07-09,1594.0876067253032
2025-07-10,1590.2409639002024
2025-07-11,1586.4329299259261
2025-07-14,1582.6631171489328
2025-07-15,1578.9311419303544
2025-07-16,1575.236624495497
2025-07-17,1571.5791888824383
2025-07-18,1567.9584628979203
2025-07-21,1564.3740780877886
2025-07-22,1560.8256696961369
2025-07-23,1557.3128766281889
2025-07-24,1553.8353414133646
2025-07-25,1550.392710169104
