Date,Forecast
2025-06-18,9063.0929821156
2025-06-19,9064.5403391911
2025-06-20,9068.798611406066
2025-06-23,9068.444258754596
2025-06-24,9073.802773107936
2025-06-25,9077.96790980682
2025-06-26,9081.908132697023
2025-06-27,9085.941572411182
2025-06-30,9089.813493520935
2025-07-01,9093.747048271845
2025-07-02,9097.679588765024
2025-07-03,9101.600962343344
2025-07-04,9105.519377132518
2025-07-07,9109.428738142504
2025-07-08,9113.331968255023
2025-07-09,9117.229148347828
2025-07-10,9121.11995490428
2025-07-11,9125.004560346077
2025-07-14,9128.882871267453
2025-07-15,9132.754911600274
2025-07-16,9136.620703796641
2025-07-17,9140.48025257885
2025-07-18,9144.333571016057
2025-07-21,9148.180668185005
2025-07-22,9152.02155380928
2025-07-23,9155.856238140836
2025-07-24,9159.684731111081
2025-07-25,9163.507042756877
2025-07-28,9167.323183061344
2025-07-29,9171.133161979553
