Date,Forecast
2025-06-12,5190.9132885228255
2025-06-13,5201.790706237777
2025-06-16,5205.311488599522
2025-06-17,5211.73681768977
2025-06-18,5217.734314682856
2025-06-19,5223.0447986058525
2025-06-20,5228.591717656272
2025-06-23,5234.132504578663
2025-06-24,5239.655199011884
2025-06-25,5245.187495147559
2025-06-26,5250.7101902093455
2025-06-27,5256.227003705443
2025-06-30,5261.739905969891
2025-07-01,5267.2478563895065
2025-07-02,5272.751108520669
2025-07-03,5278.24967114288
2025-07-04,5283.743484038023
2025-07-07,5289.232576758221
2025-07-08,5294.71695323568
2025-07-09,5300.196614980724
2025-07-10,5305.671567477954
2025-07-11,5311.141814398694
2025-07-14,5316.607359674004
2025-07-15,5322.068207441908
2025-07-16,5327.524361716619
2025-07-17,5332.975826531847
2025-07-18,5338.422605922537
2025-07-21,5343.8647039134485
2025-07-22,5349.302124528331
2025-07-23,5354.734871787515
